AALR3,Acao,,,teste
ABCB4,Acao,,,
ABEV3,Acao,,,
ADHM3,Acao,,,
AERI3,Acao,,,
AESB3,Acao,,,
AFLT3,Acao,,,
AGRO3,Acao,,,
AGXY3,Acao,,,
AHEB3,Acao,,,
AHEB5,Acao,,,
AHEB6,Acao,,,
ALLD3,Acao,,,
ALPA3,Acao,,,
ALPA4,Acao,,,
ALPK3,Acao,,,
ALSO3,Acao,,,
ALUP11,Acao,,,
ALUP3,Acao,,,
ALUP4,Acao,,,
AMAR3,Acao,,,
AMBP3,Acao,,,
AMER3,Acao,,,
ANIM3,Acao,,,
APER3,Acao,,,
ARML3,Acao,,,
ARZZ3,Acao,,,
ASAI3,Acao,,,
ATMP3,Acao,,,
ATOM3,Acao,,,
AURA33,Acao,,,
AURE3,Acao,,,
AVLL3,Acao,,,
AZEV3,Acao,,,
AZEV4,Acao,,,
AZUL4,Acao,,,
B3SA3,Acao,,,
BAHI3,Acao,,,
BALM3,Acao,,,
BALM4,Acao,,,
BAUH4,Acao,,,
BAZA3,Acao,,,
BBAS3,Acao,,,
BBDC3,Acao,,,
BBDC4,Acao,,,
BBSE3,Acao,,,
BDLL3,Acao,,,
BDLL4,Acao,,,
BEEF3,Acao,,,
BEES3,Acao,,,
BEES4,Acao,,,
BGIP3,Acao,,,
BGIP4,Acao,,,
BIOM3,Acao,,,
BLAU3,Acao,,,
BLUT3,Acao,,,
BLUT4,Acao,,,
BMEB3,Acao,,,
BMEB4,Acao,,,
BMGB4,Acao,,,
BMIN3,Acao,,,
BMIN4,Acao,,,
BMKS3,Acao,,,
BMOB3,Acao,,,
BNBR3,Acao,,,
BOAS3,Acao,,,
BOBR4,Acao,,,
BPAC11,Acao,,,
BPAC3,Acao,,,
BPAC5,Acao,,,
BPAN4,Acao,,,
BRAP3,Acao,,,
BRAP4,Acao,,,
BRBI11,Acao,,,
BRFS3,Acao,,,
BRGE11,Acao,,,
BRGE12,Acao,,,
BRGE3,Acao,,,
BRGE5,Acao,,,
BRGE6,Acao,,,
BRGE7,Acao,,,
BRGE8,Acao,,,
BRIT3,Acao,,,
BRIV3,Acao,,,
BRIV4,Acao,,,
BRKM3,Acao,,,
BRKM5,Acao,,,
BRKM6,Acao,,,
