ticker,proventos_12m,dt_ultimo_provento,vl_ultimo_provento,pagto_mês,data_com_mês,valor_mês,data_com_futura,valor_futuro,Ticker,2021,2022,2023,2024,2025,,,,,,2021,2022,2023,2024,2025,anos,PREÇO,YIELD,YIELD 12M,Data Pagamento,Data-com,Valor,Data-com Futura,Valor Futuro,Média + baixa,Mediana,Média,Dividendos 12 meses,Data ultimo provento,classe,valor por cota,,Data Pagamento,Data-com,Valor,Data-com-Futura,Valor-Futuro,,Data-com Estiva Fii,Data-Pagamento Estimativa FII,Valor estimativa FII,,TICKER,TEMPO DE APURAÇÃO,Setor,,TICKER,Data Com,Data Pagamento,Valor,<=investidor10 data-com futura,,Ticker,2020,2021,2022,2023,2024,2020,2021
CDII11,"17,14",12/12/2025,"1,39",15/01/26,30/12/25,"1,52",---,---,CDII11,,,"9,3400","11,5700","12,5200",,,,,,,,"9,3400","11,5700","12,5200",3 Anos,"105,13","11,01%","16,30%",,,,,,"11,57","11,57","11,14","17,14",12/12/25,FII,",89 B",,15/01/26,30/12/25,"1,5200",---,---,,29/05/2026,12/06/2026,"R$ 1,3800",,CDII11,5 anos,FUNDO IMOBILIARIO,,,,,,,,CDII11,,,,"12,8500","15,4300",,
CPTI11,"12,00",12/12/2025,"1,00",15/01/26,30/12/25,1,---,---,CPTI11,,,"7,6000","10,5000","9,0000",,,,,,,,"7,6000","10,5000","9,0000",3 Anos,"89,94","10,01%","13,34%",,,,,,"9,00","9,00","9,03","12,00",12/12/25,FII,",22 B",,15/01/26,30/12/25,"1,0000",---,---,,29/05/2026,12/06/2026,"R$ 1,1500",,CPTI11,5 anos,FUNDO IMOBILIARIO,,,,,,,,CPTI11,,"2,0000","17,5500","12,5000","13,5000",,"2,00"
CPTS11,"1,01",17/12/2025,"0,09",---,---,---,---,---,CPTS11,,,"0,5470","0,6160","0,7540",,,,,,,,"0,5470","0,6160","0,7540",3 Anos,"7,93","7,77%","12,74%",,,,,,"0,62","0,62","0,64","1,01",17/12/25,FII,",88 B",,---,---,---,---,---,,12/05/2026,19/05/2026,"R$ 0,0900",,CPTS11,5 anos,FUNDO IMOBILIARIO,,,,,,,,CPTS11,"0,8060","1,2179","1,2170","0,8780","0,8960","0,81","1,22"
FGAA11,"1,40",12/12/2025,"0,12",15/01/26,08/01/26,"0,12",---,---,FGAA11,,,"0,6050","0,9500","0,7050",,,,,,,,"0,6050","0,9500","0,7050",3 Anos,"9,23","7,64%","15,17%",,,,,,"0,71","0,71","0,75","1,40",12/12/25,FII,",03 M",,15/01/26,08/01/26,"0,1200",---,---,,08/05/2026,15/05/2026,"R$ 0,1150",,FGAA11,5 anos,FUNDO IMOBILIARIO,,,,,,,,FGAA11,,,"1,5900","1,5550","1,2550",,
GAME11,"1,14",19/12/2025,"0,10",---,---,---,---,---,GAME11,,,"0,7000","0,7200","0,8500",,,,,,,,"0,7000","0,7200","0,8500",3 Anos,"8,95","8,04%","12,74%",,,,,,"0,72","0,72","0,76","1,14",19/12/25,FII,",41 M",,---,---,---,---,---,,12/05/2026,22/05/2026,"R$ 0,1000",,GAME11,5 anos,FUNDO IMOBILIARIO,,,,,,,,GAME11,,"0,1080","1,4680","1,2000","1,0900",,"0,11"
GARE11,"1,00",08/01/2026,"0,08",08/01/26,30/12/25,"0,083",---,---,GARE11,,,"0,5780","0,7890","0,7470",,,,,,,,"0,5780","0,7890","0,7470",3 Anos,"8,44","8,85%","11,85%",,,,,,"0,75","0,75","0,70","1,00",08/01/26,FII,",43 B",,08/01/26,30/12/25,"0,0830",---,---,,30/04/2026,08/05/2026,"R$ 0,0830",,GARE11,5 anos,FUNDO IMOBILIARIO,,,,,,,,GARE11,"0,0750","1,0054","0,9810","0,9930","1,0580","0,08","1,01"
GGRC11,"1,20",09/01/2026,"0,10",09/01/26,02/01/26,"0,1",---,---,GGRC11,,,"0,6970","0,7340","0,8900",,,,,,,,"0,6970","0,7340","0,8900",3 Anos,"10,27","7,15%","11,68%",,,,,,"0,73","0,73","0,77","1,20",09/01/26,FII,",20 B",,09/01/26,02/01/26,"0,1000",---,---,,01/05/2026,08/05/2026,"R$ 0,1000",,GGRC11,5 anos,FUNDO IMOBILIARIO,,,,,,,,GGRC11,"0,8620","0,9210","1,1070","1,1670","1,1150","0,86","0,92"
HABT11,"12,53",12/12/2025,"0,95",12/01/26,30/12/25,"0,95",---,---,HABT11,,,"8,2200","9,4000","9,2800",,,,,,,,"8,2200","9,4000","9,2800",3 Anos,"78,36","11,84%","15,99%",,,,,,"9,28","9,28","8,97","12,53",12/12/25,FII,",81 M",,12/01/26,30/12/25,"0,9500",---,---,,30/04/2026,12/05/2026,"R$ 0,9500",,HABT11,5 anos,FUNDO IMOBILIARIO,,,,,,,,HABT11,"12,4800","18,5000","13,9700","13,5800","12,2500","12,48","18,50"
HGRE11,"12,55",12/12/2025,"0,85",15/01/26,30/12/25,"1,5",---,---,HGRE11,,,"6,0800","7,7400","8,3000",,,,,,,,"6,0800","7,7400","8,3000",3 Anos,"130,52","5,93%","9,62%",,,,,,"7,74","7,74","7,37","12,55",12/12/25,FII,",54 B",,15/01/26,30/12/25,"1,5000",---,---,,30/04/2026,15/05/2026,"R$ 0,8500",,HGRE11,5 anos,FUNDO IMOBILIARIO,,,,,,,,HGRE11,"8,0600","10,9500","9,4100","10,4000","10,0800","8,06","10,95"
HGRU11,"12,25",12/12/2025,"0,95",15/01/26,30/12/25,"1,45",---,---,HGRU11,,,"6,5000","8,2500","9,4000",,,,,,,,"6,5000","8,2500","9,4000",3 Anos,"132,53","6,23%","9,24%",,,,,,"8,25","8,25","8,05","12,25",12/12/25,FII,",06 B",,15/01/26,30/12/25,"1,4500",---,---,,30/04/2026,15/05/2026,"R$ 0,9500",,HGRU11,5 anos,FUNDO IMOBILIARIO,,,,,,,,HGRU11,"8,2000","8,6800","11,2800","12,1700","11,7500","8,20","8,68"
IFRA11,"11,84",08/01/2026,"0,85",08/01/26,30/12/25,"0,85",---,---,IFRA11,,,"7,4200","9,7200","8,2200",,,,,,,,"7,4200","9,7200","8,2200",3 Anos,"101,00","8,14%","11,72%",,,,,,"8,22","8,22","8,45","11,84",08/01/26,FII,",56 B",,08/01/26,30/12/25,"0,8500",---,---,,29/05/2026,05/06/2026,"R$ 1,0500",,IFRA11,5 anos,FUNDO IMOBILIARIO,,,,,,,,IFRA11,,"5,1200","13,6400","12,1400","13,0200",,"5,12"
JURO11,"11,75",12/12/2025,"1,00",15/01/26,30/12/25,1,---,---,JURO11,,,"8,2500","9,5000","8,7500",,,,,,,,"8,2500","9,5000","8,7500",3 Anos,"104,30","8,39%","11,27%",,,,,,"8,75","8,75","8,83","11,75",12/12/25,FII,",13 B",,15/01/26,30/12/25,"1,0000",---,---,,29/05/2026,12/06/2026,"R$ 1,0000",,JURO11,5 anos,FUNDO IMOBILIARIO,,,,,,,,JURO11,,,"16,4700","14,5000","12,5000",,
KNSC11,"1,15",11/12/2025,"0,09",14/01/26,30/12/25,"0,09",---,---,KNSC11,,,"0,6100","0,7700","0,8700",,,,,,,,"0,6100","0,7700","0,8700",3 Anos,"9,24","8,33%","12,45%",,,,,,"0,77","0,77","0,75","1,15",11/12/25,FII,",85 B",,14/01/26,30/12/25,"0,0900",---,---,,30/04/2026,14/05/2026,"R$ 0,1000",,KNSC11,5 anos,FUNDO IMOBILIARIO,,,,,,,,KNSC11,"0,5460","1,3690","1,1270","1,0210","1,0300","0,55","1,37"
MCRE11,"1,31",22/12/2025,"0,11",---,---,---,---,---,MCRE11,,,"0,9500","0,8600","0,9800",,,,,,,,"0,9500","0,8600","0,9800",3 Anos,"9,71","9,78%","13,49%",,,,,,"0,95","0,95","0,93","1,31",22/12/25,FII,",08 B",,---,---,---,---,---,,18/05/2026,25/05/2026,"R$ 0,1100",,MCRE11,5 anos,FUNDO IMOBILIARIO,,,,,,,,MCRE11,,"0,5210","1,8500","1,6300","1,2900",,"0,52"
MXRF11,"1,17",12/12/2025,"0,10",15/01/26,30/12/25,"0,1",---,---,MXRF11,,,"0,8100","0,7900","0,8700",,,,,,,,"0,8100","0,7900","0,8700",3 Anos,"9,92","8,17%","11,79%",,,,,,"0,81","0,81","0,82","1,17",12/12/25,FII,",52 B",,15/01/26,30/12/25,"0,1000",---,---,,30/04/2026,15/05/2026,"R$ 0,1000",,MXRF11,5 anos,FUNDO IMOBILIARIO,,,,,,,,MXRF11,"0,8600","0,9500","1,2100","1,3800","1,1700","0,86","0,95"
PORD11,"1,13",08/01/2026,"0,10",08/01/26,30/12/25,"0,102",---,---,PORD11,,,"0,7160","0,8280","0,8490",,,,,,,,"0,7160","0,8280","0,8490",3 Anos,"8,50","9,74%","13,29%",,,,,,"0,83","0,83","0,80","1,13",08/01/26,FII,",91 M",,08/01/26,30/12/25,"0,1020",---,---,,30/04/2026,08/05/2026,"R$ 0,0980",,PORD11,5 anos,FUNDO IMOBILIARIO,,,,,,,,PORD11,"0,9701","1,0130","1,4600","1,2350","1,0970","0,97","1,01"
RECR11,"11,69",12/12/2025,"0,82",15/01/26,08/01/26,"0,81",---,---,RECR11,,,"6,4560","7,3014","8,9406",,,,,,,,"6,4560","7,3014","8,9406",3 Anos,"83,41","8,75%","14,02%",,,,,,"7,30","7,30","7,57","11,69",12/12/25,FII,",21 B",,15/01/26,08/01/26,"0,8100",---,---,,08/05/2026,15/05/2026,"R$ 1,0330",,RECR11,5 anos,FUNDO IMOBILIARIO,,,,,,,,RECR11,"11,1798","14,1397","13,0406","10,8356","10,6046","11,18","14,14"
RURA11,"1,20",08/01/2026,"0,11",08/01/26,30/12/25,"0,11",---,---,RURA11,,,"0,8600","0,8660","0,8800",,,,,,,,"0,8600","0,8660","0,8800",3 Anos,"9,14","9,47%","13,13%",,,,,,"0,87","0,87","0,87","1,20",08/01/26,FII,",46 B",,08/01/26,30/12/25,"0,1100",---,---,,30/04/2026,08/05/2026,"R$ 0,1130",,RURA11,5 anos,FUNDO IMOBILIARIO,,,,,,,,RURA11,,,"1,0500","1,3900","1,1260",,
RZAG11,"1,51",12/12/2025,"0,13",15/01/26,30/12/25,"0,15",---,---,RZAG11,,,"0,8850","0,9650","1,1350",,,,,,,,"0,8850","0,9650","1,1350",3 Anos,"9,38","10,29%","16,10%",,,,,,"0,97","0,97","1,00","1,51",12/12/25,FII,",22 M",,15/01/26,30/12/25,"0,1500",---,---,,30/04/2026,15/05/2026,"R$ 0,1200",,RZAG11,5 anos,FUNDO IMOBILIARIO,,,,,,,,RZAG11,,"0,1530","1,4790","1,4770","1,2900",,"0,15"
SNAG11,"1,38",23/12/2025,"0,13",---,---,---,---,---,SNAG11,,,"0,8060","0,8200","1,0400",,,,,,,,"0,8060","0,8200","1,0400",3 Anos,"10,63","7,71%","12,98%",,,,,,"0,82","0,82","0,89","1,38",23/12/25,FII,",96 M",,---,---,---,---,---,,14/05/2026,25/05/2026,"R$ 0,1200",,SNAG11,5 anos,FUNDO IMOBILIARIO,,,,,,,,SNAG11,,,"0,4200","1,3720","1,2250",,
TRXF11,"11,81",12/12/2025,"0,93",15/01/26,30/12/25,1,---,---,TRXF11,,,"6,2000","9,0100","9,0200",,,,,,,,"6,2000","9,0100","9,0200",3 Anos,"91,69","9,83%","12,88%",,,,,,"9,01","9,01","8,08","11,81",12/12/25,FII,",67 B",,15/01/26,30/12/25,"1,0000",---,---,,30/04/2026,15/05/2026,"R$ 0,9300",,TRXF11,5 anos,FUNDO IMOBILIARIO,,,,,,,,TRXF11,"6,8020","8,7900","10,5500","11,3500","12,7000","6,80","8,79"
VGHF11,"1,02",08/01/2026,"0,07",08/01/26,30/12/25,"0,07",---,---,VGHF11,,,"0,7900","0,8200","0,7400",,,,,,,,"0,7900","0,8200","0,7400",3 Anos,"6,80","11,62%","15,00%",,,,,,"0,79","0,79","0,78","1,02",08/01/26,FII,",13 B",,08/01/26,30/12/25,"0,0700",---,---,,30/04/2026,08/05/2026,"R$ 0,0700",,VGHF11,5 anos,FUNDO IMOBILIARIO,,,,,,,,VGHF11,,"1,2300","1,4700","1,3000","1,0800",,"1,23"
VGIA11,"1,52",17/12/2025,"0,14",---,---,---,---,---,VGIA11,,,"0,9200","0,8475","1,1300",,,,,,,,"0,9200","0,8475","1,1300",3 Anos,"9,83","9,36%","15,46%",,,,,,"0,92","0,92","0,97","1,52",17/12/25,FII,",04 B",,---,---,---,---,---,,12/05/2026,19/05/2026,"R$ 0,1400",,VGIA11,5 anos,FUNDO IMOBILIARIO,,,,,,,,VGIA11,,,"1,5303","1,5600","1,3318",,
VILG11,"8,39",12/12/2025,"0,72",15/01/26,30/12/25,"0,74",---,---,VILG11,,,"4,8200","5,4900","6,2500",,,,,,,,"4,8200","5,4900","6,2500",3 Anos,"103,35","5,31%","8,12%",,,,,,"5,49","5,49","5,52","8,39",12/12/25,FII,",56 B",,15/01/26,30/12/25,"0,7400",---,---,,30/04/2026,15/05/2026,"R$ 0,8200",,VILG11,5 anos,FUNDO IMOBILIARIO,,,,,,,,VILG11,"6,8800","7,1800","8,5100","7,9900","7,3400","6,88","7,18"
XPML11,"11,04",23/12/2025,"0,92",---,---,---,---,---,XPML11,,,"5,7900","7,3100","8,2800",,,,,,,,"5,7900","7,3100","8,2800",3 Anos,"111,26","6,57%","9,92%",,,,,,"7,31","7,31","7,13","11,04",23/12/25,FII,",51 B",,---,---,---,---,---,,18/05/2026,25/05/2026,"R$ 0,9200",,XPML11,5 anos,FUNDO IMOBILIARIO,,,,,,,,XPML11,"3,1300","5,4383","8,5000","9,9900","10,9900","3,13","5,44"
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0 Anos,---,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
