ticker,proventos_12m,dt_ultimo_provento,vl_ultimo_provento,pagto_mês,data_com_mês,valor_mês,data_com_futura,valor_futuro,Ticker,2021,2022,2023,2024,2025,,,,,,2021,2022,2023,2024,2025,anos,PREÇO,YIELD,YIELD 12M,Data Pagamento,Data-com,Valor,Data-com Futura,Valor Futuro,Média + baixa,Mediana,Média,Dividendos 12 meses,Data ultimo provento,classe,valor por cota,,Data Pagamento,Data-com,Valor,Data-com-Futura,Valor-Futuro,,Data-com Estiva Fii,Data-Pagamento Estimativa FII,Valor estimativa FII,,TICKER,TEMPO DE APURAÇÃO,Setor,,TICKER,Data Com,Data Pagamento,Valor,<=investidor10 data-com futura,,Ticker,2020,2021,2022,2023,2024,2020,2021
COCE3,"2,70",23/12/2025,"1,35",---,---,---,---,---,COCE3,,"1,9435","0,3080","0,9289","1,3516",,,,,,,"1,9435","0,3080","0,9289","1,3516",4 Anos,"38,00","3,00%","7,11%",,,,,,"1,14","1,14","1,13","2,70",23/12/25,Acao,,,---,---,---,---,---,,,,,,COCE3,5 anos,ELETRICO,,COCE3,----,----,----,,,COCE3,"2,1237","3,6165","1,9435","0,3080","0,9289","2,12","3,62"
CPFE3,"2,79",15/12/2025,"0,26",---,---,---,---,---,CPFE3,"2,1996","3,2423","1,9267","0,9372","2,4731",,,,,,"2,1996","3,2423","1,9267","0,9372","2,4731",5 Anos,"48,93","4,50%","5,70%",,,,,,"2,20","2,20","2,16","2,79",15/12/25,Acao,,,---,---,---,---,---,,,,,,CPFE3,5 anos,ELETRICO,,CPFE3,----,----,----,,,CPFE3,"1,8010","3,7014","3,2423","2,8856","2,7539","1,80","3,70"
CPLE6,"0,44",15/05/2025,"0,44",---,---,---,---,---,CPLE6,"1,3096",,"0,3344","0,4245","0,4384",,,,,,"1,3096",,"0,3344","0,4245","0,4384",4 Anos,---,----,---,,,,,,"0,43","0,43","0,63","0,44",15/05/25,Acao,,,---,---,---,---,---,,,,,,CPLE6,5 anos,ELETRICO,,CPLE6,----,----,----,,,CPLE6,"0,3100","1,3096","0,8856","0,3344","0,4245","0,31","1,31"
EGIE3,"2,73",23/12/2025,"0,88",---,---,---,---,---,EGIE3,"0,0735","2,9894","1,7834","1,4496","1,8455",,,,,,"0,0735","2,9894","1,7834","1,4496","1,8455",5 Anos,"35,31","5,05%","7,73%",,,,,,"1,78","1,78","1,63","2,73",23/12/25,Acao,,,---,---,---,---,---,,,,,,EGIE3,5 anos,ELETRICO,,EGIE3,04/05/2026,20/05/2026,"0,48828976",,,EGIE3,"1,7246","1,7883","2,9894","2,9014","2,6684","1,72","1,79"
ELET6,"4,12",19/12/2025,"2,08",---,---,---,---,---,ELET6,"1,5999","1,4937","1,4937","3,6461","2,0445",,,,,,"1,5999","1,4937","1,4937","3,6461","2,0445",5 Anos,---,----,---,,,,,,"1,60","1,60","2,06","4,12",19/12/25,Acao,,,---,---,---,---,---,,,,,,ELET6,5 anos,ELETRICO,,ELET6,----,----,----,,,ELET6,"1,8259","2,6381","1,4937","1,4937","3,6461","1,83","2,64"
ENGI11,"3,60",19/12/2025,"0,70",---,---,---,---,---,ENGI11,"1,7500",,"1,7000","1,0000","3,6012",,,,,,"1,7500",,"1,7000","1,0000","3,6012",4 Anos,"52,82","3,27%","6,82%",,,,,,"1,73","1,73","2,01","3,60",19/12/25,Acao,,,---,---,---,---,---,,,,,,ENGI11,5 anos,ELETRICO,,ENGI11,----,----,----,,,ENGI11,"0,6000","3,9500","1,1600","2,5000","1,0000","0,60","3,95"
EQTL3,"2,37",17/11/2025,"0,65",---,---,---,---,---,EQTL3,,,,"0,4500","2,3726",,,,,,,,,"0,4500","2,3726",2 Anos,"42,32","3,33%","5,60%",,,,,,"1,41","1,41","1,41","2,37",17/11/25,Acao,,,---,---,---,---,---,,,,,,EQTL3,5 anos,ELETRICO,,EQTL3,----,----,----,,,EQTL3,"0,3200","0,7200","0,6400","0,3500","0,4500","0,32","0,72"
ISAE4,"3,29",30/12/2025,"0,22",28/01/26,29/12/25,"0,2125",26/02/26,"0,2125",ISAE4,"1,5094","1,0624","2,2041",,"2,0494",,,,,,"1,5094","1,0624","2,2041",,"2,0494",4 Anos,"29,51","6,03%","11,15%",,,,,,"1,78","1,78","1,71","3,29",30/12/25,Acao,,,28/01/26,29/12/25,"0,2125",26/02/2026,"0,2125",,,,,,ISAE4,5 anos,ELETRICO,,ISAE4,----,----,----,,,ISAE4,"1,7396","3,5889","1,0624","2,2041",,"1,74","3,59"
TAEE11,"3,23",27/11/2025,"0,32",28/01/26,14/11/25,"0,518",---,---,TAEE11,"2,9856","2,5315","1,4227","3,2634","2,3541",,,,,,"2,9856","2,5315","1,4227","3,2634","2,3541",5 Anos,"42,52","5,95%","7,60%",,,,,,"2,53","2,53","2,51","3,23",27/11/25,Acao,,,28/01/26,14/11/25,"0,5180",---,---,,,,,,TAEE11,5 anos,ELETRICO,,TAEE11,----,----,----,,,TAEE11,"3,2110","4,5037","4,8546","2,9145","3,5325","3,21","4,50"
TAEE4,"1,08",27/11/2025,"0,11",28/01/26,14/11/25,"0,172",---,---,TAEE4,"0,9952","0,8438","0,6643","1,0878","0,7847",,,,,,"0,9952","0,8438","0,6643","1,0878","0,7847",5 Anos,"14,28","5,91%","7,56%",,,,,,"0,84","0,84","0,88","1,08",27/11/25,Acao,,,28/01/26,14/11/25,"0,1720",---,---,,,,,,TAEE4,5 anos,ELETRICO,,TAEE4,----,----,----,,,TAEE4,"1,0703","1,5012","1,6182","0,9715","1,1775","1,07","1,50"
